excel_codigo,excel_nome,excel_endereco,excel_cidade,db,db_id,db_numero,db_nome,db_endereco,db_cidade,score,matched
14,CENTRO OTICO BELTRONENSE - FCO ,"RUA VEREADOR ROMEU LAURO WERLANG, 1470 ",FRANCISCO ,WMS_BD\wms_database.mdb,12,14,CENTRO OTICO BELTRONENSE - FCO,"RUA VEREADOR ROMEU LAURO WERLANG, 1470",FRANCISCO,1.0,True
14,CENTRO OTICO BELTRONENSE - FCO ,"RUA VEREADOR ROMEU LAURO WERLANG, 1470 ",FRANCISCO ,WMS_Server\wms_database.mdb,7,14,CENTRO OTICO BELTRONENSE - FCO,"RUA VEREADOR ROMEU LAURO WERLANG, 1470",FRANCISCO,1.0,True
16,CHIOCA OTICA E ELETRODOMESTICOS,"RUA SETE DE SETEMBRO, 274 SALA COMERCIAL",DOIS VIZINHOS,WMS_BD\wms_database_test.mdb,14,16,CHIOCA OTICA E ELETRODOMESTICOS,"RUA SETE DE SETEMBRO, 274 SALA COMERCIAL",DOIS VIZINHOS,1.0,True
16,CHIOCA OTICA E ELETRODOMESTICOS,"RUA SETE DE SETEMBRO, 274 SALA COMERCIAL",DOIS VIZINHOS,WMS_BD\wms_database.mdb,13,16,CHIOCA OTICA E ELETRODOMESTICOS,"RUA SETE DE SETEMBRO, 274 SALA COMERCIAL",DOIS VIZINHOS,1.0,True
16,CHIOCA OTICA E ELETRODOMESTICOS,"RUA SETE DE SETEMBRO, 274 SALA COMERCIAL",DOIS VIZINHOS,WMS_Server\wms_database.mdb,8,16,CHIOCA OTICA E ELETRODOMESTICOS,"RUA SETE DE SETEMBRO, 274 SALA COMERCIAL",DOIS VIZINHOS,1.0,True
17,ANGERMAM VISION,"RUA NELSON SPIELMANN, 1665 ",MARILIA,WMS_BD\wms_database_test.mdb,15,17,ANGERMAM VISION,"RUA NELSON SPIELMANN, 1665",MARILIA,1.0,True
17,ANGERMAM VISION,"RUA NELSON SPIELMANN, 1665 ",MARILIA,WMS_BD\wms_database.mdb,14,17,ANGERMAM VISION,"RUA NELSON SPIELMANN, 1665",MARILIA,1.0,True
17,ANGERMAM VISION,"RUA NELSON SPIELMANN, 1665 ",MARILIA,WMS_Server\wms_database.mdb,9,17,ANGERMAM VISION,"RUA NELSON SPIELMANN, 1665",MARILIA,1.0,True
18,ALIANCA JOALHERIA E OTICA,"RUA QUINZE DE NOVEMBRO, 2559 SALA 02",LARANJEIRAS DO ,WMS_BD\wms_database_test.mdb,16,18,ALIANCA JOALHERIA E OTICA,"RUA QUINZE DE NOVEMBRO, 2559 SALA 02",LARANJEIRAS DO,1.0,True
18,ALIANCA JOALHERIA E OTICA,"RUA QUINZE DE NOVEMBRO, 2559 SALA 02",LARANJEIRAS DO ,WMS_BD\wms_database.mdb,421,18,ALIANCA JOALHERIA E OTICA,"RUA QUINZE DE NOVEMBRO, 2559 SALA 02",LARANJEIRAS DO,1.0,True
18,ALIANCA JOALHERIA E OTICA,"RUA QUINZE DE NOVEMBRO, 2559 SALA 02",LARANJEIRAS DO ,WMS_Server\wms_database.mdb,10,18,ALIANCA JOALHERIA E OTICA,"RUA QUINZE DE NOVEMBRO, 2559 SALA 02",LARANJEIRAS DO,1.0,True
19,SUPEROTICA SAO JOSE - EDN ARTIGOS ,"RUA PONTA GROSSA, 1833 SALA COMERCIAL",FRANCISCO ,WMS_BD\wms_database_test.mdb,520,19,SUPEROTICA SAO JOSE - EDN ARTIGOS,"RUA PONTA GROSSA, 1833 SALA COMERCIAL",FRANCISCO,1.0,True
19,SUPEROTICA SAO JOSE - EDN ARTIGOS ,"RUA PONTA GROSSA, 1833 SALA COMERCIAL",FRANCISCO ,WMS_BD\wms_database.mdb,16,19,SUPEROTICA SAO JOSE - EDN ARTIGOS,"RUA PONTA GROSSA, 1833 SALA COMERCIAL",FRANCISCO,1.0,True
19,SUPEROTICA SAO JOSE - EDN ARTIGOS ,"RUA PONTA GROSSA, 1833 SALA COMERCIAL",FRANCISCO ,WMS_Server\wms_database.mdb,11,19,SUPEROTICA SAO JOSE - EDN ARTIGOS,"RUA PONTA GROSSA, 1833 SALA COMERCIAL",FRANCISCO,1.0,True
21,OTICA VISAO - FANOBEL LTDA ME,"RUA VEREADOR ROMEU L. WERLANG, 1442 SALA ",FRANCISCO ,WMS_BD\wms_database_test.mdb,19,21,OTICA VISAO - FANOBEL LTDA ME,"RUA VEREADOR ROMEU L. WERLANG, 1442 SALA",FRANCISCO,1.0,True
21,OTICA VISAO - FANOBEL LTDA ME,"RUA VEREADOR ROMEU L. WERLANG, 1442 SALA ",FRANCISCO ,WMS_BD\wms_database.mdb,17,21,OTICA VISAO - FANOBEL LTDA ME,"RUA VEREADOR ROMEU L. WERLANG, 1442 SALA",FRANCISCO,1.0,True
21,OTICA VISAO - FANOBEL LTDA ME,"RUA VEREADOR ROMEU L. WERLANG, 1442 SALA ",FRANCISCO ,WMS_Server\wms_database.mdb,12,21,OTICA VISAO - FANOBEL LTDA ME,"RUA VEREADOR ROMEU L. WERLANG, 1442 SALA",FRANCISCO,1.0,True
22,JOSE FRIDHOLDO GAUER,"AV  GETULIO VARGAS, 425 SALA COMERCIAL",CAMPO ERE,WMS_BD\wms_database_test.mdb,20,22,JOSE FRIDHOLDO GAUER,"AV  GETULIO VARGAS, 425 SALA COMERCIAL",CAMPO ERE,1.0,True
22,JOSE FRIDHOLDO GAUER,"AV  GETULIO VARGAS, 425 SALA COMERCIAL",CAMPO ERE,WMS_BD\wms_database.mdb,18,22,JOSE FRIDHOLDO GAUER,"AV  GETULIO VARGAS, 425 SALA COMERCIAL",CAMPO ERE,1.0,True
22,JOSE FRIDHOLDO GAUER,"AV  GETULIO VARGAS, 425 SALA COMERCIAL",CAMPO ERE,WMS_Server\wms_database.mdb,13,22,JOSE FRIDHOLDO GAUER,"AV  GETULIO VARGAS, 425 SALA COMERCIAL",CAMPO ERE,1.0,True
23,OTICA PONTO DE VISTA - PALMA SOLA,"RUA ALICHEU GIORDANI, 380 SALA COMERCIAL",PALMA SOLA,WMS_BD\wms_database_test.mdb,21,23,OTICA PONTO DE VISTA - PALMA SOLA,"RUA ALICHEU GIORDANI, 380 SALA COMERCIAL",PALMA SOLA,1.0,True
23,OTICA PONTO DE VISTA - PALMA SOLA,"RUA ALICHEU GIORDANI, 380 SALA COMERCIAL",PALMA SOLA,WMS_BD\wms_database.mdb,19,23,OTICA PONTO DE VISTA - PALMA SOLA,"RUA ALICHEU GIORDANI, 380 SALA COMERCIAL",PALMA SOLA,1.0,True
23,OTICA PONTO DE VISTA - PALMA SOLA,"RUA ALICHEU GIORDANI, 380 SALA COMERCIAL",PALMA SOLA,WMS_Server\wms_database.mdb,14,23,OTICA PONTO DE VISTA - PALMA SOLA,"RUA ALICHEU GIORDANI, 380 SALA COMERCIAL",PALMA SOLA,1.0,True
24,OTICA PONTO DE VISTA - PATO BRANCO,"RUA TOCANTINS, 2320 SALA 02",PATO BRANCO,WMS_BD\wms_database_test.mdb,22,24,OTICA PONTO DE VISTA - PATO BRANCO,"RUA TOCANTINS, 2320 SALA 02",PATO BRANCO,1.0,True
24,OTICA PONTO DE VISTA - PATO BRANCO,"RUA TOCANTINS, 2320 SALA 02",PATO BRANCO,WMS_BD\wms_database.mdb,20,24,OTICA PONTO DE VISTA - PATO BRANCO,"RUA TOCANTINS, 2320 SALA 02",PATO BRANCO,1.0,True
24,OTICA PONTO DE VISTA - PATO BRANCO,"RUA TOCANTINS, 2320 SALA 02",PATO BRANCO,WMS_Server\wms_database.mdb,15,24,OTICA PONTO DE VISTA - PATO BRANCO,"RUA TOCANTINS, 2320 SALA 02",PATO BRANCO,1.0,True
25,OTICA GLOBO LTDA,"RUA ARARIBOIA, 130 SALA COMERCIAL",PATO BRANCO,WMS_BD\wms_database_test.mdb,23,25,OTICA GLOBO LTDA,"RUA ARARIBOIA, 130 SALA COMERCIAL",PATO BRANCO,1.0,True
25,OTICA GLOBO LTDA,"RUA ARARIBOIA, 130 SALA COMERCIAL",PATO BRANCO,WMS_BD\wms_database.mdb,21,25,OTICA GLOBO LTDA,"RUA ARARIBOIA, 130 SALA COMERCIAL",PATO BRANCO,1.0,True
25,OTICA GLOBO LTDA,"RUA ARARIBOIA, 130 SALA COMERCIAL",PATO BRANCO,WMS_Server\wms_database.mdb,16,25,OTICA GLOBO LTDA,"RUA ARARIBOIA, 130 SALA COMERCIAL",PATO BRANCO,1.0,True
26,OTICA VISUAL - MOURA E FARIAS LTDA ME,"RUA PEDRO RAMIRES DE MELLO, 236 SALA ",PATO BRANCO,WMS_BD\wms_database_test.mdb,24,26,OTICA VISUAL - MOURA E FARIAS LTDA ME,"RUA PEDRO RAMIRES DE MELLO, 236 SALA",PATO BRANCO,1.0,True
26,OTICA VISUAL - MOURA E FARIAS LTDA ME,"RUA PEDRO RAMIRES DE MELLO, 236 SALA ",PATO BRANCO,WMS_BD\wms_database.mdb,22,26,OTICA VISUAL - MOURA E FARIAS LTDA ME,"RUA PEDRO RAMIRES DE MELLO, 236 SALA",PATO BRANCO,1.0,True
26,OTICA VISUAL - MOURA E FARIAS LTDA ME,"RUA PEDRO RAMIRES DE MELLO, 236 SALA ",PATO BRANCO,WMS_Server\wms_database.mdb,17,26,OTICA VISUAL - MOURA E FARIAS LTDA ME,"RUA PEDRO RAMIRES DE MELLO, 236 SALA",PATO BRANCO,1.0,True
27,OTICAS VIERI,"RUA PEDRO RAMIRES DE MELLO, 156 SALA ",PATO BRANCO,WMS_BD\wms_database_test.mdb,25,27,OTICAS VIERI,"RUA PEDRO RAMIRES DE MELLO, 156 SALA",PATO BRANCO,1.0,True
27,OTICAS VIERI,"RUA PEDRO RAMIRES DE MELLO, 156 SALA ",PATO BRANCO,WMS_BD\wms_database.mdb,23,27,OTICAS VIERI,"RUA PEDRO RAMIRES DE MELLO, 156 SALA",PATO BRANCO,1.0,True
27,OTICAS VIERI,"RUA PEDRO RAMIRES DE MELLO, 156 SALA ",PATO BRANCO,WMS_Server\wms_database.mdb,18,27,OTICAS VIERI,"RUA PEDRO RAMIRES DE MELLO, 156 SALA",PATO BRANCO,1.0,True
28,MULTILENS OTICA E LABORATORIO,"RUA PEDRO RAMIRES DE MELLO, 206 SALA 01",PATO BRANCO,WMS_BD\wms_database_test.mdb,27,28,MULTILENS OTICA E LABORATORIO,"RUA PEDRO RAMIRES DE MELLO, 206 SALA 01",PATO BRANCO,1.0,True
28,MULTILENS OTICA E LABORATORIO,"RUA PEDRO RAMIRES DE MELLO, 206 SALA 01",PATO BRANCO,WMS_BD\wms_database.mdb,24,28,MULTILENS OTICA E LABORATORIO,"RUA PEDRO RAMIRES DE MELLO, 206 SALA 01",PATO BRANCO,1.0,True
28,MULTILENS OTICA E LABORATORIO,"RUA PEDRO RAMIRES DE MELLO, 206 SALA 01",PATO BRANCO,WMS_Server\wms_database.mdb,19,28,MULTILENS OTICA E LABORATORIO,"RUA PEDRO RAMIRES DE MELLO, 206 SALA 01",PATO BRANCO,1.0,True
