WMS — Relatório de Período
Período,05/06/2026 até 05/06/2026
Gerado em,05/06/2026 09:49:15
Unidade,MASTER

RESUMO
Pedidos cadastrados no período,6
Pedidos retirados no período,3
Pedidos ativos no fechamento,556

=== A. CADASTRADOS NO PERÍODO ===
PEDIDO,CAIXA,POSIÇÃO,DATA PEDIDO,CADASTRADO EM,CADASTRADO POR,SETOR
10111611,00093,P-02-02,29/05/2026 18:26:50,6,AR
10115508,02697,P-02-01,29/05/2026 18:27:04,6,AR
10111394,00487,P-02-01,29/05/2026 18:27:06,6,AR
10114056,02348,P-02-01,29/05/2026 18:27:16,6,AR
10113601,02760,P-02-01,29/05/2026 18:27:36,6,AR
10112923,20177,P-02-01,29/05/2026 18:27:50,6,AR
10115606,01826,P-02-01,29/05/2026 18:27:55,6,AR
10114960,00085,P-02-01,29/05/2026 18:29:14,6,AR
10114884,01357,P-02-01,29/05/2026 18:29:16,6,AR
10115078,00353,P-02-01,29/05/2026 18:29:18,6,AR
10115143,01916,P-02-01,29/05/2026 18:29:28,6,AR
10115121,02736,P-03-06,29/05/2026 18:29:51,6,AR
10113649,01269,P-03-06,29/05/2026 18:29:53,6,AR
10115070,02274,P-03-06,29/05/2026 18:29:59,6,AR
10115094,01543,P-03-06,29/05/2026 18:30:03,6,AR
10113747,01309,P-03-06,29/05/2026 18:30:05,6,AR
10114899,01453,P-03-06,29/05/2026 18:30:08,6,AR
10115383,01266,P-03-06,29/05/2026 18:30:21,6,AR
10115829,01417,P-03-06,29/05/2026 18:30:24,6,AR
10115785,01948,P-03-05,01/06/2026 06:56:32,4,AR
10115268,20111,P-03-05,01/06/2026 06:56:55,4,AR
10115786,02724,P-03-05,01/06/2026 06:57:13,4,AR
10115715,2558,P-03-05,01/06/2026 06:57:29,4,AR
10116203,02093,P-03-05,01/06/2026 06:58:02,4,AR
10116923,00447,P-03-05,01/06/2026 06:58:29,4,AR
10116293,02263,P-03-05,01/06/2026 06:58:49,4,AR
10116260,02388,P-03-05,01/06/2026 06:59:08,4,AR
10117229,02752,P-03-05,01/06/2026 06:59:35,4,AR
10117204,01857,P-03-05,01/06/2026 07:00:06,4,AR
10116918,01286,P-03-05,01/06/2026 07:00:24,4,AR
10116555,01397,P-03-05,01/06/2026 07:00:42,4,AR
10117095,2577,P-03-05,01/06/2026 07:01:03,4,AR
10117311,02345,P-03-05,01/06/2026 07:01:20,4,AR
10117308,01854,P-03-05,01/06/2026 07:01:36,4,AR
10117071,20012,P-03-05,01/06/2026 07:02:04,4,AR
10117145,2543,P-03-05,01/06/2026 07:02:28,4,AR
10115057,00052,P-03-05,01/06/2026 07:02:47,4,AR
10116190,02319,P-03-05,01/06/2026 07:03:06,4,AR
10115823,20045,P-03-05,01/06/2026 07:03:26,4,AR
10116342,00461,P-03-05,01/06/2026 07:05:31,4,AR
10116443,02366,P-03-04,01/06/2026 07:05:53,4,AR
10117364,02702,P-03-04,01/06/2026 07:06:10,4,AR
10115925,20131,P-03-04,01/06/2026 07:06:29,4,AR
10117438,02882,P-03-04,01/06/2026 07:06:46,4,AR
10117429,02886,P-03-04,01/06/2026 07:07:04,4,AR
10116933,00205,P-03-04,01/06/2026 07:07:21,4,AR
10117541,02004,P-03-04,01/06/2026 07:07:46,4,AR
10117338,02217,P-03-04,01/06/2026 07:08:08,4,AR
10117335,01914,P-03-04,01/06/2026 07:08:24,4,AR
10117448,01875,P-03-04,01/06/2026 07:08:45,4,AR
10116535,02389,P-03-04,01/06/2026 07:09:35,4,AR
10117831,20114,P-03-04,01/06/2026 07:09:57,4,AR
10115490,00471,P-03-04,01/06/2026 07:10:19,4,AR
10115046,01520,P-03-04,01/06/2026 07:10:38,4,AR
10116829,02215,P-03-04,01/06/2026 07:11:00,4,AR
10116192,2548,P-03-04,01/06/2026 07:11:21,4,AR
10116936,01913,P-03-04,01/06/2026 07:11:39,4,AR
10117305,02252,P-03-04,01/06/2026 07:11:56,4,AR
10117078,02223,P-03-04,01/06/2026 07:12:16,4,AR
10117316,02226,P-03-04,01/06/2026 07:18:57,4,AR
10117036,02757,P-03-04,01/06/2026 07:19:16,4,AR
10117199,02212,P-03-04,01/06/2026 07:19:42,4,AR
10116284,02714,P-03-04,01/06/2026 07:20:01,4,AR
10116423,01254,P-03-04,01/06/2026 07:20:28,4,AR
10117398,02365,P-03-04,01/06/2026 07:20:48,4,AR
10117343,02729,P-03-04,01/06/2026 07:21:09,4,AR
10117328,2588,P-03-04,01/06/2026 07:21:32,4,AR
10117085,01918,P-03-04,01/06/2026 07:21:50,4,AR
10117176,01280,P-03-03,01/06/2026 07:22:31,4,AR
10117051,02312,P-03-03,01/06/2026 07:23:07,4,AR
